T1,T2,T3,R1,R2,R3
-0.12736,-0.0591508,0,1.47416,1.45217,0
-0.127362,-0.0591485,0,1.47369,1.45198,0
-0.127363,-0.0591462,0,1.47323,1.45179,0
-0.127345,-0.0591445,0,1.47328,1.45129,0
-0.127328,-0.0591428,0,1.47332,1.45079,0
-0.127327,-0.0591407,0,1.47294,1.45047,0
-0.127327,-0.0591387,0,1.47255,1.45015,0
-0.127317,-0.0591386,0,1.4722,1.4498,0
-0.127308,-0.0591385,0,1.47185,1.44944,0
-0.127308,-0.0591345,0,1.47164,1.44899,0
-0.127308,-0.0591306,0,1.47143,1.44853,0
-0.127306,-0.0591274,0,1.47113,1.44813,0
-0.127304,-0.0591242,0,1.47083,1.44773,0
-0.127292,-0.0591193,0,1.47076,1.44724,0
-0.127279,-0.0591144,0,1.47069,1.44674,0
-0.127272,-0.0591122,0,1.4704,1.44633,0
-0.127265,-0.0591101,0,1.47011,1.44592,0
-0.127256,-0.0591053,0,1.46994,1.44545,0
-0.127247,-0.0591005,0,1.46977,1.44498,0
-0.127238,-0.0590983,0,1.46932,1.44477,0
-0.127229,-0.0590962,0,1.46887,1.44456,0
-0.1272,-0.0590821,0,1.46892,1.44406,0
-0.12717,-0.0590679,0,1.46897,1.44357,0
-0.127165,-0.0590611,0,1.46867,1.44317,0
-0.127159,-0.0590542,0,1.46837,1.44277,0
-0.127156,-0.0590509,0,1.46842,1.44227,0
-0.127153,-0.0590475,0,1.46848,1.44177,0
-0.127138,-0.0590372,0,1.46842,1.44128,0
-0.127122,-0.0590269,0,1.46836,1.44078,0
-0.127115,-0.0590247,0,1.46807,1.44037,0
-0.127107,-0.0590226,0,1.46779,1.43996,0
-0.1271,-0.0590204,0,1.4675,1.43956,0
-0.127092,-0.0590183,0,1.46721,1.43915,0
-0.127097,-0.0590048,0,1.46685,1.4388,0
-0.127102,-0.0589913,0,1.4665,1.43845,0
-0.127102,-0.0589867,0,1.46608,1.43817,0
-0.127102,-0.0589821,0,1.46567,1.43789,0
-0.127084,-0.0589806,0,1.46547,1.43743,0
-0.127067,-0.0589792,0,1.46528,1.43697,0
-0.127052,-0.0589786,0,1.46541,1.43649,0
-0.127038,-0.058978,0,1.46555,1.43601,0
-0.12703,-0.0589758,0,1.46526,1.4356,0
-0.127023,-0.0589737,0,1.46497,1.43519,0
-0.127013,-0.0589725,0,1.46484,1.43471,0
-0.127004,-0.0589713,0,1.46472,1.43422,0
-0.126993,-0.0589687,0,1.46451,1.43377,0
-0.126983,-0.0589661,0,1.4643,1.43331,0
-0.126969,-0.0589657,0,1.46444,1.43284,0
-0.126956,-0.0589654,0,1.46458,1.43236,0
-0.126917,-0.0589495,0,1.46491,1.43198,0
-0.126877,-0.0589335,0,1.46524,1.43161,0
-0.126873,-0.058928,0,1.465,1.43117,0
-0.126868,-0.0589225,0,1.46477,1.43073,0
-0.126865,-0.058918,0,1.46474,1.43023,0
-0.126863,-0.0589135,0,1.46472,1.42973,0
-0.126845,-0.0589137,0,1.46427,1.42952,0
-0.126828,-0.0589138,0,1.46382,1.4293,0
-0.126814,-0.0589088,0,1.46341,1.42901,0
-0.1268,-0.0589037,0,1.463,1.42873,0
-0.1268,-0.0589008,0,1.4627,1.42833,0
-0.1268,-0.0588978,0,1.46239,1.42793,0
-0.126796,-0.058894,0,1.46266,1.42751,0
-0.126792,-0.0588902,0,1.46293,1.42709,0
-0.126774,-0.0588831,0,1.46257,1.42674,0
-0.126756,-0.058876,0,1.46221,1.4264,0
-0.126759,-0.0588662,0,1.46254,1.42603,0
-0.126761,-0.0588565,0,1.46288,1.42565,0
-0.126714,-0.0588385,0,1.46253,1.4253,0
-0.126667,-0.0588204,0,1.46218,1.42494,0
-0.126649,-0.058805,0,1.46203,1.42447,0
-0.126631,-0.0587896,0,1.46187,1.42399,0
-0.126619,-0.0587821,0,1.46172,1.42352,0
-0.126608,-0.0587746,0,1.46157,1.42304,0
-0.126602,-0.0587706,0,1.46126,1.42265,0
-0.126595,-0.0587666,0,1.46095,1.42226,0
-0.126595,-0.0587666,0,1.46095,1.42176,0
-0.126595,-0.0587665,0,1.46095,1.42126,0
-0.126593,-0.0587513,0,1.4605,1.42104,0
-0.126592,-0.0587362,0,1.46005,1.42082,0
-0.126585,-0.0587334,0,1.45973,1.42044,0
-0.126579,-0.0587307,0,1.45942,1.42005,0
-0.126547,-0.0587305,0,1.45903,1.41974,0
-0.126515,-0.0587303,0,1.45864,1.41943,0
-0.126516,-0.0587295,0,1.45818,1.41921,0
-0.126516,-0.0587288,0,1.45773,1.419,0
-0.12651,-0.0587263,0,1.45724,1.41894,0
-0.126504,-0.0587239,0,1.45674,1.41888,0
-0.126483,-0.0587126,0,1.45638,1.41853,0
-0.126463,-0.0587013,0,1.45601,1.41819,0
-0.126468,-0.0586835,0,1.45616,1.41771,0
-0.126473,-0.0586656,0,1.4563,1.41724,0
-0.126459,-0.0586633,0,1.45597,1.41687,0
-0.126444,-0.0586611,0,1.45563,1.4165,0
-0.126445,-0.0586571,0,1.45513,1.41646,0
-0.126445,-0.0586531,0,1.45463,1.41643,0
-0.126441,-0.0586479,0,1.45438,1.416,0
-0.126437,-0.0586426,0,1.45412,1.41557,0
-0.12643,-0.0586405,0,1.45383,1.41516,0
-0.126422,-0.0586384,0,1.45355,1.41475,0
-0.126406,-0.0586347,0,1.45325,1.41435,0
-0.12639,-0.058631,0,1.45295,1.41395,0
-0.126382,-0.0586289,0,1.45266,1.41354,0
-0.126375,-0.0586268,0,1.45237,1.41313,0
-0.126365,-0.0586253,0,1.45201,1.41279,0
-0.126354,-0.0586238,0,1.45164,1.41245,0
-0.126358,-0.0586153,0,1.45166,1.41195,0
-0.126362,-0.0586069,0,1.45168,1.41145,0
-0.126348,-0.0585982,0,1.45154,1.41097,0
-0.126334,-0.0585895,0,1.45141,1.41049,0
-0.126321,-0.0585837,0,1.45154,1.41,0
-0.126308,-0.0585779,0,1.45168,1.40952,0
-0.126307,-0.0585683,0,1.45146,1.40907,0
-0.126306,-0.0585586,0,1.45124,1.40863,0
-0.126283,-0.0585499,0,1.45117,1.40813,0
-0.126259,-0.0585411,0,1.4511,1.40764,0
-0.126259,-0.0585393,0,1.45068,1.40736,0
-0.126259,-0.0585375,0,1.45027,1.40707,0
-0.126256,-0.0585347,0,1.44981,1.40688,0
-0.126253,-0.0585319,0,1.44935,1.40669,0
-0.126237,-0.0585287,0,1.44917,1.40623,0
-0.126221,-0.0585255,0,1.44899,1.40576,0
-0.126203,-0.0585195,0,1.44852,1.40558,0
-0.126185,-0.0585135,0,1.44806,1.40539,0
-0.126184,-0.05851,0,1.44773,1.40502,0
-0.126183,-0.0585066,0,1.44739,1.40465,0
-0.126183,-0.0585068,0,1.44709,1.40425,0
-0.126182,-0.0585069,0,1.44679,1.40385,0
-0.126174,-0.0585048,0,1.4464,1.40354,0
-0.126166,-0.0585027,0,1.44601,1.40323,0
-0.126163,-0.0585015,0,1.44558,1.40297,0
-0.12616,-0.0585002,0,1.44515,1.40271,0
-0.126145,-0.0584977,0,1.44519,1.40221,0
-0.12613,-0.0584952,0,1.44523,1.40172,0
-0.12612,-0.0584903,0,1.44544,1.40126,0
-0.12611,-0.0584854,0,1.44564,1.4008,0
-0.126109,-0.0584765,0,1.44559,1.40031,0
-0.126108,-0.0584676,0,1.44553,1.39981,0
-0.126088,-0.0584633,0,1.44571,1.39934,0
-0.126067,-0.058459,0,1.44588,1.39887,0
-0.126063,-0.0584554,0,1.4455,1.39855,0
-0.126059,-0.0584519,0,1.44513,1.39822,0
-0.126057,-0.058445,0,1.44464,1.39809,0
-0.126055,-0.0584382,0,1.44416,1.39797,0
-0.126042,-0.0584358,0,1.44367,1.39788,0
-0.126028,-0.0584334,0,1.44318,1.39779,0
-0.126014,-0.0584274,0,1.44274,1.39755,0
-0.125999,-0.0584215,0,1.4423,1.39731,0
-0.125997,-0.0584146,0,1.44182,1.39715,0
-0.125995,-0.0584076,0,1.44135,1.397,0
-0.125994,-0.0584069,0,1.44093,1.39672,0
-0.125993,-0.0584061,0,1.44052,1.39643,0
-0.125984,-0.0584043,0,1.4401,1.39616,0
-0.125976,-0.0584025,0,1.43968,1.3959,0
-0.12597,-0.0583979,0,1.43982,1.39542,0
-0.125964,-0.0583934,0,1.43996,1.39494,0
-0.125959,-0.05839,0,1.43967,1.39453,0
-0.125953,-0.0583867,0,1.43938,1.39412,0
