Time,X_[ref],Y_[ref],Z_[ref],Q0_[ref],Qx_[ref],Qy_[ref],QZ_[ref],X_[tip],Y_[tip],Z_[tip],Q0_[tip],Qx_[tip],Qy_[tip],Qz_[tip]
10.1124,-116.928,-46.3093,-85.7493,0.533168,0.48907,0.525455,0.447705,-46.5252,-50.0578,-88.4508,0.667476,0.0328845,0.743905,0
10.1374,-116.931,-46.3091,-85.749,0.533194,0.48904,0.525464,0.447697,-46.4487,-49.9378,-88.6065,0.666856,0.0329827,0.744456,0
10.1624,-116.934,-46.31,-85.7483,0.533208,0.489026,0.525466,0.447693,-46.0714,-49.934,-88.326,0.668322,0.0306366,0.743241,0
10.1874,-116.932,-46.3103,-85.7481,0.533214,0.489016,0.525464,0.447699,-45.7972,-49.7773,-88.0914,0.669451,0.028385,0.742314,0
10.2124,-116.926,-46.3093,-85.7484,0.533208,0.489013,0.525452,0.447723,-45.3047,-49.9947,-88.3129,0.670614,0.0253939,0.741371,0
10.2373,-116.927,-46.3099,-85.7484,0.5332,0.489014,0.525455,0.447728,-45.2424,-49.8434,-88.5281,0.670017,0.0245238,0.741941,0
10.2623,-116.927,-46.3105,-85.7499,0.533204,0.488989,0.525468,0.447735,-44.9066,-49.764,-88.3105,0.670456,0.0209836,0.741652,0
10.2873,-116.927,-46.3111,-85.7514,0.533195,0.488997,0.525466,0.44774,-44.7585,-49.6219,-88.2308,0.669553,0.0209314,0.742469,0
10.3122,-116.926,-46.3098,-85.7536,0.533192,0.488988,0.525468,0.447751,-44.917,-49.1703,-88.0307,0.666087,0.0185204,0.745644,0
10.3372,-116.924,-46.3066,-85.7561,0.533189,0.488992,0.525465,0.447753,-44.6082,-49.338,-88.144,0.66671,0.0191339,0.745072,0
10.3622,-116.923,-46.3074,-85.7559,0.533176,0.489007,0.525458,0.44776,-44.0537,-49.7227,-88.3599,0.668437,0.019144,0.743523,0
10.3872,-116.921,-46.3092,-85.7554,0.533145,0.489033,0.525448,0.44778,-43.7697,-49.6927,-88.4116,0.668136,0.018492,0.743809,0
10.4122,-116.921,-46.3092,-85.7557,0.533101,0.48907,0.52544,0.447802,-43.5511,-49.7005,-88.3111,0.666846,0.0169105,0.745004,0
10.4372,-116.923,-46.3121,-85.7578,0.533061,0.489097,0.525435,0.447826,-43.2757,-49.6293,-88.3929,0.666871,0.0170402,0.744978,0
10.4622,-116.923,-46.3124,-85.7598,0.533033,0.489109,0.525429,0.447853,-43.0251,-49.658,-88.4993,0.666641,0.0169637,0.745185,0
10.4871,-116.921,-46.3136,-85.7593,0.533027,0.489086,0.525427,0.447888,-42.7683,-49.6305,-88.5906,0.666358,0.016736,0.745444,0
10.512,-116.923,-46.3164,-85.7591,0.533007,0.489095,0.525422,0.447908,-42.5563,-49.6166,-88.5688,0.665708,0.0162902,0.746035,0
10.537,-116.925,-46.3169,-85.7604,0.533004,0.489084,0.525426,0.447919,-42.3669,-49.5849,-88.595,0.66467,0.0157811,0.74697,0
10.562,-116.922,-46.3174,-85.7586,0.532993,0.489087,0.52542,0.447935,-42.0542,-49.6988,-88.7685,0.665178,0.0162167,0.746509,0
10.587,-116.92,-46.3185,-85.7578,0.532987,0.489091,0.525408,0.447953,-41.6464,-49.6941,-88.695,0.66498,0.0148526,0.746714,0
10.612,-116.92,-46.3174,-85.7582,0.532985,0.489096,0.525404,0.447955,-41.9694,-49.1696,-88.6132,0.661473,0.0145837,0.749827,0
10.6369,-116.919,-46.3162,-85.7583,0.532993,0.489097,0.525398,0.447951,-41.5109,-49.6126,-88.7236,0.662212,0.0148069,0.74917,0
10.662,-116.919,-46.3143,-85.7614,0.533022,0.489071,0.5254,0.447943,-41.3148,-49.5416,-88.7836,0.661095,0.0134686,0.750181,0
10.6868,-116.918,-46.3106,-85.759,0.533041,0.489092,0.525385,0.447915,-40.6527,-49.8019,-88.9471,0.66263,0.0127053,0.748839,0
10.7118,-116.92,-46.312,-85.759,0.533063,0.489079,0.525391,0.447894,-40.5465,-49.7265,-88.9719,0.661258,0.0119535,0.750064,0
10.7368,-116.919,-46.3116,-85.7589,0.533082,0.489069,0.525388,0.447887,-40.5053,-49.5122,-88.8652,0.659718,0.0116873,0.751422,0
10.7618,-116.922,-46.3097,-85.7606,0.533082,0.489071,0.525382,0.447891,-40.1585,-49.5959,-88.9441,0.659724,0.0109275,0.751429,0
10.7868,-116.924,-46.3088,-85.7576,0.53306,0.489103,0.525371,0.447895,-39.9136,-49.5762,-89.0022,0.658956,0.0102099,0.752113,0
